Funding Source Name,Compensation,
Allergan Usa Inc,"50,348.44",
Arc Of Wa St,"15,699.51",
Waya Partners Inc,"20,500.00",
Sheet Metal Workers Local 66,"520,495.00",
Coastal Conservation Assn Wa,"211,500.00",
Fish And Wildlife Officers Guild,"22,500.00",
Childrens Health Is A Legal Duty (Child) Inc,"3,000.00",
U.S. Tire Manufacturers Association,"30,000.00",
Novo Nordisk Inc,"251,750.00",
Liability Reform Coalition,"237,500.19",
Anti Smoking Alliance Dba Pink Lung Brigade,"47,400.00",
Port Of Hood River (Boswell Consulting*),"9,088.15",
Greater Seattle Chamber Of Commerce,"335,375.00",
City Of Bellingham,"112,500.00",
Healthport (Thru Multistate),"10,000.00",
"Encore Capital Group, Inc.","35,000.00",
Coltura (Grist Public Affairs Llc),935.71,
City Of Lacey,"175,000.00",
Payqwick,"57,500.00",
Cisco Systems Inc (Thru Elli Abdoli Designated Agent For Filer,"87,000.00",
Western Governors University,"94,800.00",
Philips North America,"54,000.00",
"Greenwich Biosciences, Inc. ","161,000.00",
Cgi Technologies & Solutions Inc,"260,833.33",
Cultural Access Wa,"105,500.00",
Wa Assn Of Home Care Agencies,"18,700.00",
Accreditation Assn For Ambulatory Health Care,"3,800.00",
City Of Battle Ground,"66,000.00",
End Of Life Washington,"80,425.00",
Delta Dental Of Wa (Pierce Consulting Svcs Llc*),"15,084.91",
Walmart Inc.,"276,062.49",
"Copart, Inc. (Mcbride Public Affairs Llc*)","7,000.02",
Islandwood,"118,000.00",
At-Sea Processors Association,"40,500.00",
Hepatitis Education Project,"34,000.00",
Avesis Incorporated,"120,000.00",
American Coatings Assn,"117,013.92",
The Believe Foundation,"10,000.00",
Wa Assn Of Health Underwriters,"196,000.00",
American Massage Therapy Assn- Wa Chapter (Melanie Stewart & Assoc Llc*),"88,355.00",
Spokane Transit Authority,"272,161.92",
Museum Of History & Industry (Bogard & Johnson Llc*),"18,300.00",
Glaxo Smithkline,"367,496.26",
Lakepointe Covington Inc.,"65,000.00",
Wa St Assn For Justice,"1,960,320.00",
Jakes Fireworks (Boswell Consulting*),"9,000.00",
Nisqually Indian Tribe,"429,249.95",
"Ash Grove Cement Co., A Crh Company","105,000.00",
Port Of Kalama (Boswell Consulting*),"1,697.67",
Wa Film Works,"75,875.00",
Project Lead The Way ,"5,000.00",
City Of Bellevue,"320,250.00",
Natl Electrical Manufacturers Assn (Thru Multistate),"249,000.56",
Graduation Alliance,"54,000.00",
Paratransit Services (Doty & Assoc Inc*),"20,250.00",
Washington Continuing Care Residents Association,"48,000.00",
Advantage Capital (Boswell Consulting*),187.50,
"Sunrise Services Inc (Public Affairs Consulting, Llc)","6,268.75",
98Point6 Inc.,"49,000.00",
"Wa St Snowmobile Assn (Public Affairs Consulting, Llc)","9,428.30",
Foundation For Individual Rights In Education (Fire),722.00,
Homesight,"31,500.00",
Northstar Contracting Group Lp,"74,000.00",
Keybank,"102,600.00",
Northwest Marine Technology,"22,006.00",
Wa Community Action Network,"36,567.75",
"International Union, Uaw","9,000.00",
City Of Lake Forest Park,"152,400.00",
First American Title Insurance Company,"90,000.00",
Mcg Health,"31,500.00",
Assn Of Wa St Public Facilities Dists,"66,000.00",
Stephen Lindstrom (Self),395.00,
Daybreak Youth Services,"92,000.00",
Highline Public Schools,"68,250.00",
Downtown Emergency Service Center,"42,000.00",
American Family Mutual Insurance,"45,625.03",
Wa Assn Of Neighborhood Stores,"156,235.67",
Edelson Pc,"122,493.00",
Mcna Health Care Holdings (Gano & Assoc*),"7,410.06",
Cedar Grove,"313,250.00",
"Charter Communications, Inc.","7,803.00",
Child Care Resources,"52,054.48",
Legal Voice (Pam Crone Legislative Consulting Svcs*),"69,050.05",
"Eps Industry Alliance, Inc.",248.64,
Ounce Of Prevention Fund,"51,850.00",
Wa Public Affairs Network Dba Tvw,"5,380.88",
"Hughes Seattle, Inc.","50,000.00",
American Family Insurance,"176,875.04",
Rescare (Thru Multistate Assoc Inc),"60,500.00",
Walmart Inc. (Gano & Assoc*),"25,743.52",
Katerra (Lodestar Strategic Llc),"11,250.00",
Microsoft Corp (Pierce Consulting Svcs Llc*),"20,179.65",
Association Of Wa Healthcare Plans,"319,000.00",
Northwest Harvest,"41,872.66",
Ice Floe Llc,"54,500.00",
Institute Of Scrap Recycling Pacific Nw Chapter,"82,946.84",
Brandt Information Services,"6,000.00",
Wa St Independent Auto Dealers Assn,"136,720.00",
Wa St Dental Assn,"1,166,600.00",
Port Of Quincy,"142,500.00",
Service Employees Intl Union Local 6,"120,866.56",
Wa Assn Of Fish & Wildlife Professionals,"12,000.00",
Wa Assn Of Wheat Growers,"237,750.00",
Earth Sphere Llc,"4,000.00",
Salmon Beach North,"1,518.00",
K12 Inc.,"307,500.00",
Molson Coors Beverage Company Usa Llc,"38,997.00",
Enterprise Holdings Llc,"260,350.00",
Avalon Health Care Inc,"272,808.00",
Youthcare,"3,463.18",
Parent Trust For Wa Children (Rnj Strategies),"3,650.00",
Washington State Golf Association (Dba Washington Golf),"3,510.00",
Lewis Co Fire Dist 1,"25,650.00",
Limeade,"52,000.00",
A Way Home Washington,"50,012.45",
Score Officer Guild,"21,900.00",
Far West Agribusiness Assn,"163,954.80",
Lkq Corporation (Ludeman Public Affairs),"6,000.00",
Aham - Assn Of Home Appliance Manufacturers,"8,950.00",
Global Discoveries Ltd,"30,000.00",
Federal Way Public Schools,"171,000.00",
Union Pacific Railroad Co (Thomas M Parker),"4,000.00",
Chehalis Confederated Tribes,"22,003.00",
Catholic Community Services Of Western Wa,"141,640.10",
Wa St Boundary Review Board Assn,"12,500.00",
Deere & Co (Thru Multistates),"84,000.00",
Evergreen Recovery Centers,"10,000.00",
Cit For Parks & Recreation,"1,800.00",
Confederated Tribes Of The Umatilla Indian Reservation,"177,999.88",
Unite Here Local 8,"8,000.00",
Gonzaga University,"235,000.00",
"Bird Rides, Inc.","41,516.38",
Cocoon House,"4,000.00",
Kitsap Mental Health Services,"18,000.00",
Pilchuck Uniserv Council,"4,369.52",
The Scotts Company Llc,"85,000.00",
Uber Technologies Inc And Affiliates,"440,185.00",
The Trust For Public Land Action Fund,"162,429.36",
Washington Outdoor School Consortium On Behalf Wa School Principals Education Foundation,"10,004.01",
Wa St Radiological Society,"172,451.61",
Fire Sprinkler Advisory Bd Of Puget Sound (Doty & Assoc Inc*),"48,750.00",
Eastlake Community Council,200.00,
Fresenius Medical Care North America (Melanie Stewart & Assoc Llc*),"2,700.00",
Starship Technologies Inc,"30,000.00",
Lavle Usa Inc (Lodestar Strategic Llc),"7,333.00",
Legal Counsel For Youth And Children,607.60,
Northwest Yacht Brokers Assn,"63,710.05",
City Of Burien,"203,070.00",
Aligned Ag Distributors Llc,"24,000.00",
Yakima Valley Landlords Assn,"23,250.00",
Wa St Bar Assn,"352,342.11",
Quest Diagnostics C/O Multistate Assoc Inc,"272,500.00",
Quinault Indian Nation (The Whitener Group),"317,250.00",
Northwest Harvest Emm,"29,758.09",
City Of Shelton,"62,000.00",
Northwest Hpba,"66,000.00",
Up For Growth National Coalition,158.69,
Packaging Corp Of America,"171,000.00",
"Bldg Owners & Managers Assn Of King Co (Public Affairs Consulting, Llc)","4,000.00",
Fanduel Group,"9,000.00",
Wa Osteopathic Medical Assn,"114,000.00",
Signature Healthcare Services Llc (Luke Esser),"52,000.00",
Nichter Llc,"4,000.00",
"Jinro America, Inc. (David Kim)","28,000.00",
Inmar C/O Mulitstate Associates Inc.,"10,000.00",
Wa St Assn Of Counties,"778,933.77",
Sustainable Living Innovations,"22,500.00",
Pharmaceutical Rsrch/Mfg Of America,"1,187,152.12",
City Of Bremerton,"219,000.00",
Sightline Institute,"85,139.65",
Wa St Pharmacy Assn,"376,278.97",
City Of Bellingham (Mcbride Public Affairs Llc*),"48,507.00",
Port Of Allyn,"52,048.00",
Washington State Opportunity Scholarship,"175,882.86",
King County Fire Protection District 39 Dba South King Fire & Rescue  ,"48,000.00",
Columbia River Pilots (Gallatin Public Affairs*),"6,000.00",
Metropolitan King Co Council (Michael Shaw),"118,931.00",
Chargepoint Inc,"75,000.00",
Overlake Hospital Medical Center,"76,000.00",
Rescare (Thru Multistate Assoc Inc) (Duncan & Associates*),"14,500.00",
Grays Harbor Community Hospital,"42,500.00",
Sound,"92,000.00",
Quinault Indian Nation,"411,600.00",
City Of Everett,"435,580.00",
Association For Accessible Medicines,"195,961.20",
"Towing And Recovery Assn Of Wa (Public Affairs Consulting, Llc)","5,643.75",
American Progressive Bag Alliance/Spi (Gallatin Public Affairs*),"30,000.00",
City Of Des Moines,"107,800.00",
Chi Franciscan Health,"312,755.00",
Northwest Marine Trade Assn,"270,180.00",
"National Grid Usa Service Company, Inc.","101,266.16",
Coalition For Access To Prenatal Screening,"37,000.00",
Regalo International Llc,"15,000.00",
Kitsap Co,"320,700.00",
Property Casualty Insurers Assn Of America,"214,789.38",
Russell Investment Group (Pierce Consulting Svcs Llc*),"15,084.91",
West Coast Seafood Processors Association,"20,000.00",
The Washington Bus,113.73,
Puget Consumers Co-Op Dba Pcc Community Markets,"65,000.00",
Avista Corp (Gano & Assoc*),"10,000.00",
Merit International Inc. (Lodestar Strategic Llc),"15,000.00",
City Of Shoreline (Capitol Strategies Consulting*),"13,750.00",
Stelter Montlake Llc,"39,000.00",
"Marathon Petroleum Corporation, And Its Subsidaries","55,000.00",
The Washington Treasurer'S Office,"186,496.92",
Wa Assn Of Criminal Defense Lawyers,"77,847.50",
The Northwest Seaport Alliance,"235,000.00",
The Washington Bus Education Fund,581.89,
Ace Metals Corp,"38,780.00",
Washington State Jail Association,"15,000.00",
"Ccd Black Diamond Partners, Llc","105,000.00",
Bank Of America Corp,"285,267.44",
Astria Health (Christophersen Inc*),230.76,
Americas Health Insurance Plans,"324,309.81",
Society Of Professional Engineering Employees In Aerospace Speea (Paribello Public Affairs),"17,580.64",
Town Of Concrete,"6,000.00",
Catholic Charities Of Spokane,"18,000.00",
City Of Seatac,"157,800.00",
Booster Fuels,"13,200.00",
Faspaa,"16,307.00",
Breakthrough Inc. (Melissa M Gombosky),"24,000.00",
Unemployment Law Project (Pam Crone Legislative Consulting Svcs*),"14,999.00",
Katerra,"27,000.00",
Northwest Aquaculture Alliance,"41,550.00",
City Of College Place,"17,000.00",
Teamsters Local Union 313,656.92,
Consolidated Bookkeeping & Management Services Inc,"172,000.00",
Wa Economic Development Assn,"177,000.00",
Rural Health Clinic Assn,"105,600.00",
Legacy Health System,"284,500.00",
Toxic-Free Future,"128,245.69",
Akzo Nobel ,"84,000.00",
Vaagen Brothers Lumber Inc,"114,000.00",
City Of Ruston (Civic Group*),"1,300.00",
Progressive Corp,"332,499.81",
City Of Edmonds (Jennifer Ziegler),"42,000.00",
Wa Assn Of Colleges For Teacher Education,"32,330.00",
"Inda, Association Of The Nonwoven Fabrics Industry","25,000.00",
Postmates,"90,000.00",
Everytown For Gun Safety Action Fund,"139,995.51",
Franklin Pierce School District,"203,500.00",
Wa St Coalition  Against Domestic Violence (Pam Crone Legislative Consulting Svcs*),"2,400.00",
Foundation For Healthy Generations,"357,500.00",
Columbia Snake River Irrigators Assn,"3,500.00",
Intl Brotherhood Of Teamsters Local 231,734.14,
Chubb (Gano & Assoc*),"21,263.50",
Sheet Metal & Air Condition Contractors West Wa,"314,106.00",
College Of American Pathologists,"36,500.00",
Evergreen Mountain Bike Alliance,"3,500.00",
Wa Collectors Assn,"249,219.81",
Opportunity Solutions Project,"19,000.00",
Scientific Games Corporation,"259,000.00",
Audubon Washington,"72,500.00",
Intl Rehab Assn Mgmt Group,"26,500.00",
Natl Multiple Sclerosis Society Greater Nw Chapter,"15,389.54",
Parent Trust For Wa Children,"16,000.00",
"Emerald Enterprises, Llc","9,000.00",
Washington State Animal Damage Control Program,"63,000.00",
"Orexo Us, Inc.","45,000.00",
Rental Housing Assn Of Puget Sound,"312,583.00",
National Council Of State Boards Of Nursing,"135,000.00",
Council For A Strong America,"36,905.99",
"Gb Auctions, Inc ","12,500.00",
Wa St Funeral Directors Assn,"51,200.00",
Tudor Llc,"18,047.37",
Oregon Biosciences Assn,"88,750.00",
Ddc Public Affairs ,"7,500.00",
City Of Everett (Len Mccomb),"42,000.00",
Emerald Green Alliance,"21,950.41",
City Of Seattle (Pam Crone Legislative Consulting Svcs*),"31,200.00",
American Express Travel Related Services,"142,500.00",
Boeing,"1,610,375.15",
Energy Freedom Coalition Of America Llc,"76,000.00",
Grandmothers Against Gun Violence,"9,000.00",
Gordon Thomas Honeywell Gov Affairs* (Self),"4,000.00",
Spokane Public Facilities Dist (Thomas M Parker),"4,000.00",
Wolf-Pac,"20,295.86",
Wa St Conference Of Mason Contractors,"146,500.00",
Eaze (Martin Flynn Public Affairs Inc*),"51,500.00",
Defenders Of Wildlife,"6,700.00",
Sunovion Pharmaceuticals Inc.,"103,872.61",
Whatcom Ag Water Board,"28,500.00",
Dish Network Llc,"598,000.00",
"Brinderson, Llc","56,375.00",
United Healthcare Services Inc,"366,887.03",
Wa Public Employees Assn,"113,702.36",
Peninsula Light Co,"6,000.00",
Wilderness Society,"1,140.00",
Pacific Northwest University Of Health Sciences,"285,000.00",
Cooke Aquaculture Pacific Llc,"392,000.00",
Esther Ripplinger,"29,800.00",
League Of Women Voters Of Wa,"26,500.00",
Everett Clinic,"117,000.00",
Metro Parks Of Tacoma,"245,870.44",
"Consumer Reports, Inc.","2,019.18",
Leukemia & Lymphoma Society,"1,782.00",
Beckwith & Kuffel ,"15,000.00",
Hudson Govt Affairs Llc,"142,000.00",
 Laborers International Union Of North America Local 252,"12,100.00",
Code.Org ,"6,098.79",
Clark Co High Technology & Community Council (Htc) (Pierce Consulting Svcs Llc*),"8,610.00",
Scientific Games Corporation (Gano & Assoc*),"5,395.83",
Northwest Automatic Vending Assn,"85,500.00",
United Schools Insurance Program,"22,565.89",
Lincoln Memorial University,"40,500.00",
Teamsters Local Union No. 839,464.68,
Home Care Assn Of Wa,"186,806.00",
Equal Rights Wa,"12,000.00",
Transcanada Gtn,"193,000.00",
Sunrun Inc,"28,000.00",
Wa Information Network 211,"125,250.00",
City Of Lake Stevens,"252,561.49",
City Of Lake Stevens (Outcomes By Levy Llc*),"28,600.00",
Washington Winegrowers Association,"55,000.00",
Pierce Transit,"278,500.00",
Washington State Charter School Commission,"55,000.00",
City Of Carnation,"23,000.00",
Wa Denturist Assn,"99,600.00",
Lynden Incorporated,"101,500.00",
Wa Health Care Assn,"1,203,993.00",
Wa Student Assn,"34,853.79",
Wa St Destination Marketing Organizations Assn,"91,200.00",
Bayer U.S. Llc ,"183,026.83",
Maplebear Inc. D/B/A Instacart,"22,500.00",
Wa St Society Of Pathologists,"37,000.00",
Aviation Technical Services Inc,"228,000.00",
Sightline Institute (Grist Public Affairs Llc),635.71,
City Of Sumner (Vander Stoep Remund Blinks & Jones),"25,000.00",
Natural Resources Defense Cncl,"1,348.94",
Detente Management (Martin Flynn Public Affairs Inc*),"63,000.00",
Chevron Usa Inc,"274,847.67",
Broadband Communications Assn Of Wa,"293,500.00",
American Property Casualty Insurance Association,"195,116.83",
Us Bancorp,"3,063.36",
Public Citizen,20.00,
International Bottled Water Association,"45,000.00",
Wa Employment Lawyers Assn (Pam Crone Legislative Consulting Svcs*),"27,400.00",
Acadia Healthcare,"109,000.00",
Wa Nonprofits,"47,077.57",
Alliance Of Western Energy Consumers,"309,000.00",
Mason Co,"2,000.00",
Point Ruston Llc,"220,000.00",
Ciox Health Llc (Thru Multistate),"175,800.00",
Island County,"15,000.00",
Energy Northwest,"564,230.83",
Motion Picture Exhibitors Of Wa Alaska & Oregon,"6,000.00",
"Autolotto, Inc. Dba Lottery.Com  (Thru Multi State)","124,000.00",
Wa Conservation Voters,"190,224.84",
Wa St Psychological Assn,"147,729.00",
Pacific Education Institute,"86,350.00",
Navos,"90,000.00",
"Geo Group, Inc.","63,000.00",
Civic Ventures,"109,500.00",
Wa St Dist & Municipal Court Judges Assn (Melanie Stewart & Assoc Llc*),"8,200.00",
"Assurant, Inc. (Christophersen Inc*)","2,181.78",
Wa Alliance Of Boys & Girls Club,"226,500.00",
Mt Spokane 2000,"156,000.00",
National Organization For Women-Wa St Chapter,"7,000.00",
Fairvote The Center For Voting & Democracy,"17,000.00",
Spokane Guilds' School & Neuromuscular Center Dba Joya,"1,035.00",
Alzheimers Assn Wa St Chapter,"118,825.85",
Intl Brotherhood Of Teamsters Local 38,"5,485.20",
Ste Michelle Wine Estates Ltd (Gano & Assoc*),"26,744.40",
United Rentals C/O Multistate Associates Inc.,"168,721.92",
Public Defender Association,"55,717.99",
Wa Beer & Wine Distributors Assn,"537,500.00",
City Of Bothell,"113,519.25",
Sound Action,"50,250.00",
Honda North America (Thru Multistate) (Mcbride Public Affairs Llc*),"47,838.02",
Michael D Gempler (Self),"1,979.00",
Franklin Co Commission,"21,010.00",
Schools Insurance Assn Of Wa (Alex Hur),"1,250.00",
City Of Cheney,"102,500.00",
Comcast Cable Communications (Pierce Consulting Svcs Llc*),"20,110.67",
Invenergy,"398,725.00",
National Assn Of Dental Plans (Nadp),"2,000.00",
Community Assoc Institute,"257,000.00",
Cascade Water Alliance,"399,000.00",
"Ameriprise Financial, Inc.","20,000.00",
Two Jinn Inc,"346,633.47",
Wafla,"33,931.22",
Physicians Insurance A Mutual Co,"285,000.00",
Assoc Students Of Wa St University,"9,565.32",
Community Education Centers,"10,000.00",
Rail Passengers Assoc (Onbehalfof All Aboard Wa),"26,000.00",
The Arc Of King County,811.66,
Cgi Technologies & Solutions Inc (Sound View Strategies Llc*),"60,403.25",
Tabor 100,"13,200.00",
City Of Lynden,"159,000.00",
Motorola Solutions Inc,"200,315.00",
Draftkings Inc.,"66,000.00",
Advantage Capital (Gano & Assoc*),"42,190.53",
Bldg Owners & Managers Assn Of King Co,"194,615.88",
Nw Natural Gas,"224,746.00",
Inland Nw Agc,"14,305.00",
Wa Food Industry,"591,996.60",
"Us Ecology Washington, Inc.","220,000.00",
Building Changes (Pam Crone Legislative Consulting Svcs*),"1,300.00",
Natl Express Llc,"10,000.00",
Zero Waste Wa (Grist Public Affairs Llc),585.71,
"Goodwill Industries Of The Columbia, Inc.","10,500.00",
"Gb Auctions, Inc Dba Daa Northwest","82,500.00",
Genentech,"179,160.00",
Evergreen Treatment Services,"47,700.00",
Si Group Client Services,"54,166.58",
Wa Assn Of Prosecuting Attorneys,"62,156.04",
Point Ruston Llc (Boswell Consulting*),"9,382.79",
1-800 Contacts (Bill Clarke),"105,000.00",
Teck American/Teck Wa,"158,750.00",
Aids Memorial Pathway,"2,000.00",
Gonzaga University (Thomas M Parker),"4,000.02",
Educational Service District 105 (Melissa M Gombosky),"7,500.00",
Millennium Bulk Terminals,"313,500.00",
Tacoma/Pierce County Habitat For Humanity,"68,749.98",
City Of Ruston,"24,000.00",
Neology,"57,000.00",
"Consolidated Telecom, Inc.","16,000.00",
Riu 420 Dba Uncle Ando'S Wurld Of Weed,"2,000.00",
Wa Assn Of Nurse Anesthetists,"79,200.00",
Igps Logistics Llc,"24,000.00",
"Corecivic, Inc. ","53,499.84",
Celgene Corporation,"86,000.00",
Northwest Industrial Gas Users,"105,000.00",
"Gb Auctions, Inc Dba Daa Northwest (Government Relations Services*)","11,875.00",
Sprint Nextel (Jean M Leonard*),"11,152.91",
Kaiser Aluminum,"256,000.00",
"Revivermx, Inc. (Bogard & Johnson Llc*)","48,500.00",
Health Care Without Harm,864.09,
"American Society Of Composers, Authors, & Publishers (Gallatin Public Affairs*)","6,480.00",
Clipper Navigation,"91,000.00",
Wa Contract Loggers Assn Inc,"1,157.56",
Sodexo,"94,500.00",
Diageo,"302,500.00",
Wa Lodging Assn,"18,511.59",
Ag Water Board Of Whatcom County,"32,000.00",
Association Of Unemployment Tax Organozations,"1,361.50",
"Starkey Laboratories, Inc. Dba Starkey Hearing Technologies","42,000.00",
Wa Assn Of School Administrators,"810,276.44",
Cadman Inc,"66,000.00",
Govt Bldg Owners & Lessors Assn,"341,700.95",
Eli Lilly & Company (Melanie Stewart & Assoc Llc*),"19,700.00",
Astrazeneca Pharmaceuticals Lp (Martin Flynn Public Affairs Inc*),"4,000.00",
Alliance Nursing,"5,058.40",
Seattle Education Access,"72,000.00",
Expedia Inc,"241,500.00",
The Kushery,"11,250.00",
Proteus Action League,"46,010.49",
Pud No. 1 Of Douglas County,"71,000.00",
Agri Beef Co,"335,250.00",
Puget Sound Sage,"2,076.00",
Wa Assn Of Drug Courts,"48,850.00",
Central Wa Grain Growers Inc,"5,000.00",
Up For Growth Action (Pierce Consulting Svcs Llc*),"9,000.00",
Proliance Surgeons,"199,500.00",
Wa Coalition For Gifted Education,"48,450.00",
Building Changes,"124,324.08",
Handy Technologies Inc,"12,500.00",
First Solar Inc,"8,000.00",
Towing And Recovery Assn Of Wa,"185,633.13",
Washington State Investment Board,"28,000.00",
Willamette Dental Management Corp,"110,000.00",
Cannabis Retailers For Smart Regulation,"49,400.00",
Center For Diagnostic Imaging,"93,740.00",
Community Health Network Of Wa,"1,238,975.99",
All In For Action,"43,500.00",
Rco Legal,"29,250.00",
City Of Olympia,"102,000.00",
Associated Students Of The University Of Washington - Seattle ,"6,256.22",
Last Stop Pot Shop,"11,250.00",
Top Shelf (Podworks Corp),"20,500.00",
Wa Cannabusiness Assn,"339,000.00",
Everett Clinic (Lmh Inc*),750.00,
Offerup Inc.,"97,500.00",
Pacific Coast Shellfish Growers Assn,"155,250.00",
Wa St Medical Assn,"1,297,910.06",
Southern Glazer'S Wine & Spirits,"258,000.00",
7-Eleven Inc,"189,999.98",
City Of Sumner,"168,500.00",
Mastercard Worldwide,"336,504.00",
Washington State Funeral Directors Association,"2,600.00",
Midwives Assn Of Wa State,"73,500.00",
At&T Services Inc,"706,200.00",
Phillips 66,"349,345.32",
Nationwide Insurance (Jean M Leonard*),"20,626.91",
Northwest Museum Of Arts & Culture Foundation,"31,500.00",
Columbia Legal Services,"185,544.94",
Adult Family Home Council,"85,500.00",
Coltura,"12,100.00",
One America Votes,470.70,
Wa Assn Of Professional Guardians,"51,206.00",
Ostrom Mushroom Farms,"15,000.00",
Wa Assn For Substance Abuse & Violence Prevention,"42,750.00",
Altria Client Services Llc & Its Affiliates,"853,108.99",
Next Step Archery,"38,298.46",
Cosmo Specialty Fibers,"69,653.75",
"Servicenow, Inc.","10,000.00",
"Rescare Res-Care, Inc., Dba Brightspring Health Services (Thru Multistate Assoc Inc)","40,000.00",
Lavle Usa Inc,"114,663.57",
Wa St Transit Assn,"422,826.56",
Grow Op Farms Llc,"52,500.00",
Institute Of Real Estate Mgmt,"11,625.00",
Wa St Podiatric Medical Assn,"307,000.00",
Snohomish Co Fire Dist 26,"4,000.00",
Eisai Inc,"66,000.00",
Wa Independent Medical Exam Coalition,"142,500.00",
Natl Assn Of Industrial & Office Properties,"396,499.92",
Parity For Pumps C/O Multistate Associates Inc.,"13,000.00",
Safe Babies Safe Moms,"8,600.00",
Northwest Gas Association,"1,910.00",
Nw Energy Efficiency Cncl,"228,000.00",
Pasco School Dist,"161,000.00",
Wa Education Assn - Midstate,"1,008.46",
Independent Inc,"12,500.00",
Fred Hutchinson Cancer Research Center,"282,888.46",
Artsfund,"41,000.00",
Wa Assn For Pupil Transportation,"12,399.69",
Opportunity Council,"45,000.00",
Maverick Gaming Llc,"231,000.00",
King County Medical Society,"11,750.00",
Nw Grocery Assn,"281,500.00",
"Live Nation Entertainment, Inc.","14,000.00",
Alkermes Plc,"321,570.00",
Comp Tia,"172,720.18",
Emerald Svcs Inc,"48,000.00",
Renewable Northwest,"163,752.63",
Cbe Strategic,"53,000.00",
Wa Onsite Sewage Assn,"35,950.00",
Wa St Patrol Troopers Assn,"327,462.02",
Expedia Group,"46,653.00",
Ridwell,"6,500.00",
Emergent Biosolutions,"27,758.00",
Wa St Hospice & Palliative Care Org,"214,331.25",
Sabey Corporation,"174,000.00",
Whatcom Co Council Of Governments (Thomas M Parker),"4,000.00",
Usaa,"209,132.53",
Wa Alliance Of Boys & Girls Club (Christophersen Inc*),"1,196.65",
General Motors Llc,"495,268.82",
Skagit County,"160,749.99",
Wa Fish Growers Assn,"170,000.00",
Peloton Technology,"9,000.00",
Lucid Motors,"16,500.00",
Knowledge Universe,"10,500.00",
Westrock (Gano & Assoc*),"15,125.43",
Kaiser Foundation Health Plan Of Washington,"569,429.65",
Liberty Health Partners (Michael Shaw),"12,000.00",
Mcna Health Care Holdings,"344,500.00",
Rai Services Company,"502,487.20",
Wa St Bail Agents Assn (Doty & Assoc Inc*),"24,000.00",
Wa St Psychiatric Assn,"38,481.00",
Wheelchair Accessible Taxi Association Of Washington,"92,500.00",
Crohn'S And Colitis Foundation,"5,000.00",
Cit Alliance For Property Rights,"82,500.00",
"Skygen Usa, Llc","15,000.00",
City Of Spokane Valley,"249,999.84",
The Youth Justice Fund,"10,000.00",
Bp America Inc,"619,775.00",
Surplus Line Assn Of Wa,"351,000.00",
Assn For Medical Cannabis Reform,"1,875.00",
The Polyclinic,"72,000.00",
Pope Resources/Olympic Prop Group/Olympic Resource Mgmt Inc,"127,235.00",
Cattle Producers Of Wa,"16,956.25",
Assn Of Wa Housing Authorities (Pierce Consulting Svcs Llc*),"1,515.00",
American Council Of Engineering Companies Of Wa,"42,500.00",
Wa Business Alliance Fund,"91,675.00",
Blokable,"77,000.00",
Tusk Ventures Llc,"21,250.00",
Washington State Security Council (Michael M Moran),"5,000.00",
Tobacco-Free Action Fund ,"21,000.00",
Relx Inc,"296,250.00",
Patients For Affordable Drugs Now,"1,223.07",
American Federation Of Teachers Washington ,"6,415.02",
Cannabis Organization Of Retail Establishments (Recreational Services Llc),"55,000.00",
Marathon Petroleum Corporation And Its Subsidaries,"76,200.00",
Dennis J Lawson (Self),"2,523.04",
Save The Children Action Network,"28,044.57",
Assn Of Wa Public Hospital Districts,"504,000.00",
Oneamerica (Alex Hur),"10,000.00",
Jpmorgan Chase Holdings Llc,"27,844.70",
Washington State Labor Council,"914,087.01",
Regional Fisheries Enhancement Group Coalition,"93,200.00",
Wa St University,"575,000.00",
Trout Unlimited ,"204,641.54",
Basin Disposal Inc,"93,000.00",
George Community Hall,"1,500.00",
Carmax Auto Superstores Inc,"160,000.00",
Institute For Community Leadership,"2,396.08",
Fanduel Inc.,"57,000.00",
Kitsap Pud 01,"74,000.00",
Nurse Family Partnership,"3,918.32",
Seattle Goodwill,"12,500.00",
American Promotional Events Northwest Inc. Dba Tnt Fireworks,"43,064.52",
Woodland Park Zoo Society (Jennifer Ziegler),"22,750.00",
Wa Beverage Assn,"475,916.64",
The Amp: Aids Memorial Pathway,"10,000.00",
South Sound Chambers Of Commerce Leg Comm,"82,002.00",
Up For Growth Action,"34,366.22",
Washington Ffa Foundation ,"13,333.00",
Geoduck Student Union Of The Evergreen State College,"10,762.50",
Port Of Longview,"84,000.00",
Carbon Wa,"30,000.00",
Northwest Portland Area Indian Health Board,"7,741.94",
Wa Charters Action,"200,481.24",
Google Llc And Its Affiliates (Arledge Group),"4,000.00",
Anthem Inc & Its Affiliates,"730,000.00",
Uber Technologies Inc (Boswell Consulting*),747.75,
Fix Democracy First,"5,718.11",
Rivian Automotive Llc,"91,750.00",
Columbia Basin Development League,"235,499.70",
Spokane Tribe Of Indians,"299,000.00",
Seattle Reproductive Medicine On Behalf Of Washington State Building Families Coalition,"1,500.00",
Jpmorgan Chase & Co,"2,917.75",
Wa St Council Of Farmer Cooperatives,"132,000.00",
Ccd Black Diamond Partners Llc,"22,500.00",
Blackstone Real Estate Services Llc,"115,000.00",
Aviation Technical Services Inc (Gano & Assoc*),"24,333.34",
Adp Total Source Inc,"185,000.00",
City Of Libertry Lake,"29,322.58",
Cowlitz Pud,"485,157.32",
City Of Stanwood,"75,000.00",
